,canal_ID,video_ID,video_Title
42,UCjxqdJb5lRF3Ni2kc81pzrg,_Vh9d3Rcaqg,&#39;Felipe VI el último rey de España.
43,UCLNZvDlwQJMaQg477NAxvjQ,KSlAopFS57k,"Pérez-Reverte: &quot;Soy republicano, pero soy español&quot; - El Hormiguero"
44,UCdwdFOhBP9CoAOlHDTmTxaw,Erp-8y1i87k,Especial Monarquías: ¿por qué siguen existiendo?
45,UCATNLtVD9iXXzOmFc4bZ87A,6gNPzEX1bJw,Monarquía VS República - ¿Qué es mejor?
46,UCVimQoXNCZuEnZRVAbuYMiw,eDVcnhGHLJ4,La Base #59 - El regreso de Juan Carlos: ¿Monarquía o República?
47,UCeH9BF2FVqVE_nl2oLoGQqg,MN4vx1ZGcoY,¿Por qué los españoles tienen a un Rey como Jefe de Estado?
48,UCGXbLrVe8vnkiFv7q2vYv3w,dvIxwNxYNmw,Los últimos escándalos de la monarquía española
49,UCnty8QGdYaovTDdajd4TO5w,w_PHMKvbVok,Ruben Gisbert en directo: Diferencia entre la monarquia española y otras monarquías europeas
50,UCc-TIZAU7WfHHzjWkZ32wsg,cKJ2U0iK_Lw,Opinión sobre monarquía y principio dinástico
51,UC6egXNc6J2htkdUpXHfovwQ,UTbN766Itks,👑 ¿MONARQUÍA = Unidad de España? 🏛 ¿REPÚBLICA = Plurinacionalidad?
52,UCxCDTtnkWzuglGn5xii_c6g,jdV9Tu4W8-Y,Leonor de España #realeza #monarquia #españa #infanta_sofía #ladyleo #princesa #princesaleonor
53,UCQiMUpAmskFqrcP77ue5vSw,Vqa-Pf2B3lI,La Monarquía de todos
54,UC9vs8KujZ2kJ2hbg01fNRVw,ypLYiXGpIl0,Realeza en España: ¿Podría caer la MONARQUÍA? ¿Es tiempo de una REPÚBLICA?
55,UCYRaVpCYbKYAwJ78wPDX6qQ,fomxiHlpe9A,Los escándalos del Rey Juan Carlos: ocaso y exilio
56,UCn5U0D6xjB4kVV0Dz2x4e7Q,FokZNQsZBdI,El verde en la Monarquía española// Viva El Rey De España.
57,UCaSdpaCk2nyPlxj6im46rOQ,vroS_j6nX0w,Que pasaría con la OTAN si España y Marruecos entran en un Conflicto? #short
58,UCYXjdAUhmK008CGpetMbRnQ,LnskOXkskOE,Relaciones institucionales de la monarquía española y Guatemala
59,UCWZvD9i6M01UY5XIHpCDhrQ,S0VJNPn1ZFM,🔍 ¿PUEDE EL REY NEGARSE A FIRMAR LA AMNISTÍA? 👑  ¿Corre algún peligro la corona? 👑  Riesgos y Retos
60,UCWZvD9i6M01UY5XIHpCDhrQ,Z9WJdtpe7jM,👑 ¿Por qué los españoles siguen teniendo un rey? Monarquía en España: ¿Tradición Costosa o Pilar?
61,UCHFU80wuwDDU_k4FvrkOYRw,rRt8uZIg-sw,España no es para repúblicas #españa #monarquia #republica
62,UCyoGb3SMlTlB8CLGVH4c8Rw,BapYlHb7Ag0,El papel de los monarcas en Europa
63,UC84t25xqhPEPpGY7NBZJ_eA,AWH_O6mnQyA,Santiago Abascal: &quot;VOX no tiene una posición sobre Franco&quot; - El Hormiguero 3.0
64,UCh1OgMIWOlDBhFEYL3DHWjQ,8m9nUm7Mr60,Los catalanes se confiesan a Andrea Ropero: ¿qué piensan de la independencia?
65,UCT4Jg8h03dD0iN3Pb5L0PMA,Iw1S2EH-p4U,España: la salida del rey Juan Carlos I precipita la crisis de la monarquía
66,UC7QZIf0dta-XPXsp9Hv4dTw,zn5rmN9J0ps,"PRINCESA LEONOR: Así será su FORMACIÓN MILITAR, de TRES años y en los TRES EJÉRCITOS | RTVE Noticias"
67,UCVimQoXNCZuEnZRVAbuYMiw,sMpn6YEKyKs,"Ana Pardo de Vera: &quot;El PSOE, con la monarquía, es como con los toros: espera que se extinga&quot;"
68,UC4kwQN-SPxfXyGX6Xbv1RUw,vdC4Op5uWZM,EL PEOR REY DE LA HISTORIA DE ESPAÑA
69,UCLYwoMRXctfgOFMZYNhbpRA,9onPZT3npGU,Sobre la MONARQUÍA #shorts
70,UCfPrh2GfUkRFawG9whMacpA,ND9l9GJEzdc,¿MONARQUÍA O REPÚBLICA? 🤔 #finanzas #economia
71,UCi07YANBuzpilHfUiKmOKEQ,_R6VUR0sy7Q,Cuanto dinero cobran los reyes ?? #monarquia #reyes #salario
72,UCVimQoXNCZuEnZRVAbuYMiw,2bWHTvoMeG8,¿República o monarquía? Los resultados de la encuesta
73,UC_lEiu6917IJz03TnntWUaQ,FqO8VBkYTt0,Realeza británica: opiniones a favor y en contra de mantener la monarquía en este siglo
74,UCkccyEbqhhM3uKOI6Shm-4Q,jq_BvdUAkh4,Rey Juan Carlos: La vida y escándalos de corrupción que estremece al país
75,UCCqF7U4o79dvO76CI10Wj_Q,HUf7Bm2TYH8,Rey de Jerusalén #monarquia #españa #historia #felipevi
76,UCYXjdAUhmK008CGpetMbRnQ,GdUmfEaoILk,Relaciones institucionales entre la monarquía española y la Unión Soviética
77,UCMRKu-0rirX_fa4HimATn4g,581Qc99ZEVk,¿Un &#39;The Crown&#39; con la monarquía de España?
78,UCx7hsHZSPuqzwKZmYtpYqdA,uIWOSM7cMtQ,👑 Quién puede SER REY en ESPAÑA 👑 Linea de sucesion al trono español
79,UCI9JodXHKa_FBPW8IxKyBVw,EV1OocWPycw,🤔Macarena Olona pide un referéndum sobre la monarquía🤔 #shorts
80,UCYOw-dl5NfCNbRRCtINrPfA,CzhbF6QVGBg,¿Qué es la Monarquía?
81,UC40FZRPiODzhhuJA77M01xA,Z5xd9y8BdmQ,Los Reyes Católicos en 10 minutos! | El reinado de Isabel y Fernando
82,UCMpGWp11dTT6WQRwHNXAXIw,yfgcMUN0GUg,Juan Pablo Fusi - Letras en Sevilla - La Monarquía en España
83,UC7QZIf0dta-XPXsp9Hv4dTw,i5NXowFrUbw,INFORME SEMANAL: La REINA LETIZIA felicita al PROGRAMA que PRESENTÓ hace MÁS de 20 AÑOS | RTVE
84,UCv05qOuJ6Igbe-EyQibJgwQ,BCrCOFBOM1M,El franquismo
85,UCBdq2IZdl8bp1OOg5BNawuQ,H0qeKxU662s,EL VIRREINATO DE NUEVA ESPAÑA
86,UC7QZIf0dta-XPXsp9Hv4dTw,Gur9-AM2O4w,RUFIÁN sobre el REY: &quot;Es el DIPUTADO 53 de VOX&quot; I RTVE
87,UCnKlfDXaVP-6uIACOJeVPfw,izaZyEn2jLo,👑 La RESTAURACIÓN BORBÓNICA
88,UCzl_kA-4vNMaJ4v9vsVU4yw,a0jBEJi2iJY,2012/04/16 Comentarios escándalo monarquía española
89,UChtLgH7ZJLqLGWJpBnzy9Lg,XTxyZRW1XyA,Documental | De Juan Carlos a Felipe
90,UCvlPS9zHbwkgJ7Vkn7SY74Q,ADpGPqqCpkI,La Monarquía más antigua de Europa
91,UCp1-O5JdbyGXWAtyYYqOtEg,O_HqQ7jwhYk,La historia detrás del mito - Letizia Ortiz
92,UCYXjdAUhmK008CGpetMbRnQ,O9TPP-C8rUk,Relaciones institucionales entre la monarquía española y Uruguay
93,UCWzQmDWp_mjh3AOzPCZNzEQ,nwnmlPjLhQk,La crisis del Imperio Romano y la monarquía visigoda
94,UCTVEB8qiadgWTBy_mT1Kn2w,B7ZTqyhBG8s,Línea de sucesión a la Monarquía Española
95,UCnKlfDXaVP-6uIACOJeVPfw,JClVMBd4eQQ,📕 Las CORTES de CÁDIZ y la CONSTITUCIÓN de 1812 | RESUMEN
96,UC6NVDkuzY2exMOVFw4i9oHw,pLLaf-4ZSsg,Crisis en la monarquía española
97,UCnKlfDXaVP-6uIACOJeVPfw,ltcfkKTMUrw,👑 ISABEL II y la construcción del ESTADO LIBERAL (1833-1868) | Resumen
98,UCGa_5Q8vErDg09zN7x6lTYg,w23DW-yUp5k,"Cómo estudiar HISTORIA de España para 2º BACHILLERATO y SELECTIVIDAD (ebau) | consejos, trucos 2020"
99,UCoZTtPQUaPD-Oa6M04OLghw,KyZUJJxfK-w,"La monarquia española,cazeria en Botswana y la prensa extranjera."
100,UCPH3Oz99Y_jrVBCQMjQZNSg,wq0GGJIHknk,(SEGUNDA PARTE) Las Mejores Citas y Frases Sobre España y Los Españoles
101,UClLLRs_mFTsNT5U-DqTYAGg,XSLEuXR-lOQ,Seis minutos de broncas: el vídeo que resume el tenso clima político en España
102,UCzl_kA-4vNMaJ4v9vsVU4yw,a0jBEJi2iJY,2012/04/16 Comentarios escándalo monarquía española
103,UCnKlfDXaVP-6uIACOJeVPfw,eqRZWAH--UA,"🔴 El ANTIGUO RÉGIMEN | Absolutismo, parlamentarismo y sociedad estamental"
104,UCqlsTzBv49Uiu8Z3IseVgQQ,wizlL5acKEM,El Rey a Chávez: &#39;¿Por qué no te callas?&#39;  (Telediario TVE)
105,UCOHCRQDAr9HC5d59XvziJFQ,AbZNTgS6zSs,&#39;&#39;Preguntar justo ahora si se quiere vivir en monarquía o en república es oportunista&#39;&#39;
106,UCA6aHWBtlqHbYgIBICmjcAw,JwzYvC0-6nA,RescueYouFitness y la monarquía española
107,UC49nxT5gHSKm2_ha3NfTJtQ,bAWQZewONTI,La Guerra de la Independencia Española
108,UCYXjdAUhmK008CGpetMbRnQ,O9TPP-C8rUk,Relaciones institucionales entre la monarquía española y Uruguay
109,UCnsvJeZO4RigQ898WdDNoBw,93LStrEcmcE,Lo que hay detrás de la tensa escena entre la REINA LETIZIA y doña Sofía | Gente
110,UCzDmu6QviXbf0cbeFBh2_zA,qZDBt8tSYDg,LA CRISIS DEL ANTIGUO RÉGIMEN (1788-1833) | Historia de España 🇪🇸
111,UCh1OgMIWOlDBhFEYL3DHWjQ,Q2ThSn27b7Y,¿Peligra la monarquía en España? Dos expertos analizan las polémicas de Juan Carlos I
112,UCBIMW0ZhwULY_x7fdaPRPiQ,1VU2Pglbd4I,"HISTORIA DE ESPAÑA (Parte 1) - Prehistoria, Prerromanos (íberos y celtas), Romanización y Visigodos"
113,UCyiMkyM21ozFcM2gcyNolIQ,sbh1T9auMnU,💥AVISO BOMBA REY EMÉRITO HUNDE A PEDRO SÁNCHEZ POR REY FELIPE VI ANTE ESCÁNDALO DE REINA LETIZIA
114,UChmLIRBQh3-bRJp3d6Dnnog,xMKv5-8MVpE,La REVOLUCIÓN FRANCESA | Draw My Life
115,UCv05qOuJ6Igbe-EyQibJgwQ,bdzYORCMbtE,"Carlos III, el mejor alcalde de Madrid"
