,video_id,author,comment
28,0HVzuoDgkkY,UCr7uORPicRYRKk9K37f8RKg,"Todo lo que queráis, que es viejo, que es inmoral, que la libertad de expresión sólo para los que vosotros decidís, que no tiene derecho, que la lealtad ha de cumplirse incluso contra la conciencia... Nos lo sabemos. Pero, ¿ alguno es capaz jurídicamente de desmentir lo que dice y fundamentar el encaje de la  amnistía en la legislación? Resulta divertido que mateis al mensajero, pero del contenido a debatir, ni mu.... Flaco favor hacéis a la defensa de la medida no entendiendola y censurando, cuando no insultando, al que opina, ejerciendo su derecho, sobre ella"
29,0HVzuoDgkkY,UCdlgAxg-OYTdAiFB-Ufw7YA,"Que pena lo de las viejas glorias socialistas (Felipe,Guerra,Leguina,Corcuera,Paco Vazquez,etc.etc.etc.)"
30,0HVzuoDgkkY,UCKYeggU2GY-jR9qT7v4lPYQ,"Sr. González Márquez, no sería más honesto por su parte un prudente silencio  ??
Bajo su mandato, tiene lugar la aparición de un GRUPO ANTITERRORISTA DE LIBERACIÓN. ..  GAL, cuyo objetivo era combatir a ETA.
Usted presidente del gobierno en aquellos momentos, dice "" estar ajeno a todo ello"".
PERO,   al mismo tiempo,   creo  que fue J.M. Azna quien le bautiza como "". el hombre X. de la operacion"".
             VAYA AMISTADES LAS          SUYAS ....🌹🌹
🌹"
31,0HVzuoDgkkY,UCu4RXWZHhLvBtmnvZW5GmFg,Porque no te vas al PP que seguramente ya eres del PP
32,0HVzuoDgkkY,UCCPrUlKSeWO_ATT97lQvLSw,Tiene razón
33,0HVzuoDgkkY,UCf_SHTwnexc3ApSZKjgDZZQ,Como tu con los gal
34,0HVzuoDgkkY,UCXsBdoMR53GMRxBCx2zYR4A,Este farsante no era isidoro
35,0HVzuoDgkkY,UCXsBdoMR53GMRxBCx2zYR4A,"se os ha olvidado a todos el ""a por ellos oe"""
36,0HVzuoDgkkY,UCXsBdoMR53GMRxBCx2zYR4A,ya de las puertas giratorias otro dia
37,0HVzuoDgkkY,UCXsBdoMR53GMRxBCx2zYR4A,El de la cal viva😮
38,0HVzuoDgkkY,UCpO__g_1rvOpcyZsDAy83dA,"Mister x,a ti no te ha hecho falta amnistía"
39,0HVzuoDgkkY,UC9txpJobBGck4930MDlc1gw,Españoles !…..Seguid votando a Sanchinflas que en el pozo aún cabe miseria !
40,aXLB8r1t8ec,UCzX0IX_81Fj3FislNCXd_1A,No more money for Spain.
