,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,hateful,targeted,aggresive
5224,sG0qj9m_94k,UCXW1UZgauEniaMlI9eRdoHw,"Mexico fue una colonia española , Catalunya  (con un embalaje de neocolonianismo) a fecha de hoy aun lo es.  Saquen sus conclusiones. Tengan en cuenta que el pais invasor esta a lado  y el resto de Europa ( aunque sabe toda la verdad) mira hacia otro lado.",[0. 0. 0. ... 0. 0. 0.],mexico colonia espa catalunya embalaj neocolonianismo fecha saquen conclusion cuenta pai invasor lado resto europa aunqu sabe toda verdad mira hacia lado,0.0,0.7645353078842163,0.0365419425070285,0.3782854080200195
5225,NuEDdq_hBaY,UCYFFqMbBPHdWW1_17Dh2_0w,"Falto mi favorita: ""españa es cristiana no musulmana"" 💯",[0. 0. 0. ... 0. 0. 0.],falto favorita espa cristiana musulmana,0.0,0.9471155405044556,0.8235084414482117,0.787997305393219
5226,gn_yrjbAOn4,UCauFqai0zLQH1bN7zdbwXwg,Boba,[0. 0. 0. ... 0. 0. 0.],boba,0.0,0.9808696508407592,0.982494056224823,0.9617711901664734
5227,P63afWhTuOY,UC3fpxUCgKVnnFscVCAjDEYg,Que pedazo de mujer,[0. 0. 0. ... 0. 0. 0.],pedazo mujer,0.0,0.8623251914978027,0.6244116425514221,0.6091803312301636
5228,85vCMseHZZQ,UCwnwFAG9LlAppZTPD6XUC4w,Susana tu míratelo también porque tú por hay andas no estás muy fina 🇪🇦😭,[0. 0. 0. ... 0. 0. 0.],susana ratelo tambi anda fina,0.0,0.5006513595581055,0.3254154622554779,0.1827390789985656
5229,Jrk-rRItwCo,UCmTc6mg76FG9frZ-CvkVgog,"Que enorme felicidad que España, un país tan relevante tanto para Europa, América y la cultura occidental, tenga a este jefe de gobierno de un nivel visto en pocos estadistas. Ante todo, el enorme ejemplo democrático de dialogar con partidos con otras ideas, y llegar a acuerdos. Eso es la democracia, el dialogo racional entre los ciudadanos, contrario a la prepotencia que utilizan algunos partidos políticos del mundo, tanto desde la izquierda como desde la derecha, porque eso no les importa, lo que no tienen es cultura democrática y este trabajo tan arduo que debemos llevar a cabo todos los ciudadanos, de diferentes ideas, de sostener el único sistema viable para cualquier nación. Por otra parte, es hora de que europa tome las riendas de la OTAN, porque la política exterior de USA está completamente desfasada en el tiempo, como si la guerra fría continuara. El mundo occidental sigue su rumbo de crecimiento intelectual, mal que a algunos les pese.",[0. 0. 0. ... 0. 0. 0.],enorm felicidad espa relevant europa rica cultura occident jefe gobierno nivel visto poco estadista enorm ejemplo democr tico dialogar partido idea llegar acuerdo democracia dialogo racion ciudadano contrario prepotencia utilizan partido tico mundo izquierda derecha importa cultura democr tica trabajo arduo debemo llevar cabo ciudadano diferent idea sosten nico sistema viabl cualquier naci part hora europa tome rienda otan tica exterior completament desfasada tiempo guerra continuara mundo occident sigu rumbo crecimiento intelectu pese,0.0,0.5239880084991455,0.0130839794874191,0.1816035956144333
5230,Jrk-rRItwCo,UCmTc6mg76FG9frZ-CvkVgog,"Que enorme felicidad que España, un país tan relevante tanto para Europa, América y la cultura occidental, tenga a este jefe de gobierno de un nivel visto en pocos estadistas. Ante todo, el enorme ejemplo democrático de dialogar con partidos con otras ideas, y llegar a acuerdos. Eso es la democracia, el dialogo racional entre los ciudadanos, contrario a la prepotencia que utilizan algunos partidos políticos del mundo, tanto desde la izquierda como desde la derecha, porque eso no les importa, lo que no tienen es cultura democrática y este trabajo tan arduo que debemos llevar a cabo todos los ciudadanos, de diferentes ideas, de sostener el único sistema viable para cualquier nación. Por otra parte, es hora de que europa tome las riendas de la OTAN, porque la política exterior de USA está completamente desfasada en el tiempo, como si la guerra fría continuara. El mundo occidental sigue su rumbo de crecimiento intelectual, mal que a algunos les pese.",[0. 0. 0. ... 0. 0. 0.],enorm felicidad espa relevant europa rica cultura occident jefe gobierno nivel visto poco estadista enorm ejemplo democr tico dialogar partido idea llegar acuerdo democracia dialogo racion ciudadano contrario prepotencia utilizan partido tico mundo izquierda derecha importa cultura democr tica trabajo arduo debemo llevar cabo ciudadano diferent idea sosten nico sistema viabl cualquier naci part hora europa tome rienda otan tica exterior completament desfasada tiempo guerra continuara mundo occident sigu rumbo crecimiento intelectu pese,0.0,0.5239880084991455,0.0130839794874191,0.1816035956144333
5231,INshsHmRBVk,UC8VrbTICyN1P7SdxYt77dVA,Paletorra,[0. 0. 0. ... 0. 0. 0.],paletorra,0.0,0.9882358312606812,0.9834617376327516,0.9790999293327332
5232,DePa4yDbUPA,UCzJj_rx9Ro56uTSfIAeuMLQ,a toda gente latina  aunque españa os abran las puertas eso no quiere decir nada  os consierareis siempre extranjeros nunca sereis españoles  porque ? porque teneis diferentes costumbres  y diferente cultura   entendimiento asi que gente latina = extranjeros en  españa,[0. 0. 0. ... 0. 0. 0.],toda gent latina aunqu espa abran puerta quier decir consierarei siempr extranjero nunca serei espa ole tenei diferent costumbr diferent cultura entendimiento gent latina extranjero espa,0.0,0.5530521869659424,0.0128888031467795,0.1993566453456878
5233,uA9B-Sq1SA8,UCQIRFYYk03hax2P0En-_L2w,Blablabla  . Sean churras o merinas el lobo las está comiendo .,[0. 0. 0. ... 0. 0. 0.],blablabla churra merina lobo comiendo,0.0,0.5747910737991333,0.2787590324878692,0.3148386776447296
